n, x0, x1, x2, xa,y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
0,0.360401367684,0.241184506479,-0.3643487303,0.602066940262,0.214508682696,386.029209654,0.9332395884193374,-0.8345422012939085,0.6474224058221385,-0.500297837641,0.0033639999999999226,0.0011359999999998038,5.699999999997374e-05,22:28:45  19-02-17
1,0.933239588419,-0.834542201294,0.647422405822,0.526809441346,0.136205072098,496.167632063,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.0038649999999997853,0.001152000000000264,5.600000000027805e-05,22:28:45  19-02-17
2,0.435590430147,0.141346606761,0.583339354636,0.451544993496,-1.22951904353,625.348862188,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.002702999999999456,0.0011750000000003702,5.500000000013827e-05,22:28:45  19-02-17
3,-0.257475128322,0.799643349429,-0.330383137068,0.602066940262,0.277395775238,386.029209654,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.0030120000000000147,0.0015519999999997758,5.699999999997374e-05,22:28:45  19-02-17
4,0.116483967743,0.788082115799,0.204386478544,0.526809441346,-0.594902569615,496.167632063,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.0029650000000001064,0.0011580000000002144,4.399999999993298e-05,22:28:45  19-02-17
5,0.294051179117,-0.118911209845,0.121894694048,0.451544993496,-0.0356863722821,625.348862188,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.0024440000000001127,0.0011309999999999931,4.999999999988347e-05,22:28:45  19-02-17
6,0.646588023737,-0.453926278194,-0.0264560226448,0.602066940262,-0.0874063030879,386.029209654,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.0024439999999996687,0.0011149999999999771,4.900000000018778e-05,22:28:45  19-02-17
7,-0.761276948306,-0.904256825628,0.101915417826,0.526809441346,-0.159123618061,496.167632063,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.0024480000000002278,0.0013670000000001181,5.599999999983396e-05,22:28:45  19-02-17
8,-0.993102210277,-0.949789072865,-0.980660844078,0.451544993496,0.220438084395,625.348862188,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.0028799999999997716,0.001202999999999843,5.699999999997374e-05,22:28:45  19-02-17
9,-0.911294861245,-0.74953421455,0.912045038177,0.602066940262,0.0414011771993,386.029209654,0.4355904301472846,0.14134660676146815,0.5833393546360757,-3.29228929505,0.0026999999999999247,0.0010810000000001097,5.600000000027805e-05,22:28:45  19-02-17
10,0.928534012822,0.0905114301854,0.423725247683,0.526809441346,-0.146922562695,496.167632063,-0.9244646986874763,0.7486492695553213,0.48799436564361987,-1.84766146399,0.002737999999999907,0.0011519999999998198,6.500000000020378e-05,22:28:45  19-02-17
11,-0.924464698687,0.748649269555,0.487994365644,0.451544993496,-2.64613585188,625.348862188,-0.9244646986874763,0.7486492695553213,0.48799436564361987,-1.84766146399,0.002815000000000012,0.0011839999999998518,5.3999999999998494e-05,22:28:45  19-02-17
12,0.980436939089,0.341431340977,0.345691046374,0.602066940262,0.119282505834,386.029209654,-0.9244646986874763,0.7486492695553213,0.48799436564361987,-1.84766146399,0.002839000000000258,0.0012660000000002114,5.8999999999809205e-05,22:28:45  19-02-17
13,-0.0254745964109,-0.966299595072,-0.872058976533,0.526809441346,0.251806813123,496.167632063,-0.9244646986874763,0.7486492695553213,0.48799436564361987,-1.84766146399,0.002953999999999457,0.0011149999999999771,6.200000000022854e-05,22:28:45  19-02-17
14,-0.895193538079,-0.072480175856,-0.0452496144851,0.451544993496,-0.205485496866,625.348862188,-0.9244646986874763,0.7486492695553213,0.48799436564361987,-1.84766146399,0.0024980000000001112,0.0011120000000000019,4.6999999999908226e-05,22:28:45  19-02-17
15,-0.318924023051,0.426631130183,-0.508408140922,0.602066940262,0.270138707632,386.029209654,-0.9244646986874763,0.7486492695553213,0.48799436564361987,-1.84766146399,0.0023420000000000663,0.0010950000000002902,4.399999999993298e-05,22:28:45  19-02-17
16,-0.816151659691,-0.606536047195,0.477405643025,0.526809441346,0.0626972928887,496.167632063,-0.9244646986874763,0.7486492695553213,0.48799436564361987,-1.84766146399,0.0023650000000001725,0.0011060000000000514,5.499999999969418e-05,22:28:45  19-02-17
17,-0.589542424623,-0.619350449346,0.191068649083,0.451544993496,-0.11963358595,625.348862188,-0.9244646986874763,0.7486492695553213,0.48799436564361987,-1.84766146399,0.0023719999999998187,0.0010449999999999626,4.500000000007276e-05,22:28:45  19-02-17
